===2023-06-16 21:47:42===
===Setting===
    dataset: fairface
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: -1
    quantile: 0
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix: False
    mix2: False
    mix3: False
    mix4: False
data_number=[14,20,30,44,65,96,142,208,307,451,31,46,68,101,149,219,322,51,74,110,162,239,64,94,139,119,175,200,136,]
client_nums=[10,7,5,3,2,1,1,]
len_dataset=[3952,2688,1828,856,846,575,391,]
domain number = -1
============ Train epoch 0 ============
 Site-Latino_Hispanic_ffhq-0        | Train Loss: 2.0585 | Train Acc: 0.4191
Average Train Accuracy: 0.2707
 Site-White_utk-0                   | Val  Loss: 2.0665 | Val  Acc: 0.5000
 Site-White_utk-1                   | Val  Loss: 2.1926 | Val  Acc: 0.0000
 Site-White_utk-2                   | Val  Loss: 2.2209 | Val  Acc: 0.0000
 Site-White_utk-3                   | Val  Loss: 2.1221 | Val  Acc: 0.1667
 Site-White_utk-4                   | Val  Loss: 2.1417 | Val  Acc: 0.3333
 Site-White_utk-5                   | Val  Loss: 2.1826 | Val  Acc: 0.0769
 Site-White_utk-6                   | Val  Loss: 2.1773 | Val  Acc: 0.1500
 Site-White_utk-7                   | Val  Loss: 2.1555 | Val  Acc: 0.1379
 Site-White_utk-8                   | Val  Loss: 2.1481 | Val  Acc: 0.1628
 Site-White_utk-9                   | Val  Loss: 2.1623 | Val  Acc: 0.1094
 Site-East_Asian-0                  | Val  Loss: 2.1186 | Val  Acc: 0.5000
 Site-East_Asian-1                  | Val  Loss: 2.1114 | Val  Acc: 0.3333
 Site-East_Asian-2                  | Val  Loss: 2.0578 | Val  Acc: 0.4444
 Site-East_Asian-3                  | Val  Loss: 2.1156 | Val  Acc: 0.2857
 Site-East_Asian-4                  | Val  Loss: 2.0763 | Val  Acc: 0.4762
 Site-East_Asian-5                  | Val  Loss: 2.0378 | Val  Acc: 0.4839
 Site-East_Asian-6                  | Val  Loss: 2.0766 | Val  Acc: 0.3913
 Site-Indian_utk-0                  | Val  Loss: 2.0418 | Val  Acc: 0.5714
 Site-Indian_utk-1                  | Val  Loss: 2.0898 | Val  Acc: 0.4000
 Site-Indian_utk-2                  | Val  Loss: 2.0566 | Val  Acc: 0.4667
 Site-Indian_utk-3                  | Val  Loss: 2.0751 | Val  Acc: 0.4783
 Site-Indian_utk-4                  | Val  Loss: 2.1067 | Val  Acc: 0.2941
 Site-Black_utk-0                   | Val  Loss: 2.0485 | Val  Acc: 0.4444
 Site-Black_utk-1                   | Val  Loss: 2.0576 | Val  Acc: 0.3846
 Site-Black_utk-2                   | Val  Loss: 2.1308 | Val  Acc: 0.2632
 Site-Southeast_Asian-0             | Val  Loss: 2.1139 | Val  Acc: 0.2353
 Site-Southeast_Asian-1             | Val  Loss: 2.1307 | Val  Acc: 0.2800
 Site-Asian_ffhq-0                  | Val  Loss: 2.0132 | Val  Acc: 0.6429
 Site-Latino_Hispanic_ffhq-0        | Val  Loss: 2.0823 | Val  Acc: 0.2632
Average Valid Accuracy: 0.3199
============ Train epoch 4 ============
 Site-White_utk-0                   | Train Loss: 2.1900 | Train Acc: 0.0000
 Site-White_utk-1                   | Train Loss: 2.1482 | Train Acc: 0.2000
 Site-White_utk-2                   | Train Loss: 2.1833 | Train Acc: 0.0000
 Site-White_utk-3                   | Train Loss: 2.1783 | Train Acc: 0.1136
