===2023-06-07 13:49:42===
===Setting===
    dataset: fairface
    lr: 0.01
    batch: 32
    iters: 50
    wk_iters: 1
    si: False
    domain_num: -1
    quantile: 0
    std_rw: False
    gender_label: False
    binary_race: True
    save_iter: -1
data_number=[36,48,62,85,112,147,192,252,335,435,146,193,]
client_nums=[10,2,]
domain number = -1
============ Train epoch 0 ============
 Site-White-9                       | Val  Loss: 1.8631 | Val  Acc: 0.3853
 Site-Black-0                       | Val  Loss: 2.0390 | Val  Acc: 0.1351
 Site-Black-1                       | Val  Loss: 1.9036 | Val  Acc: 0.2653
Average Valid Accuracy: 0.3303
============ Train epoch 10 ============
 Site-White-0                  | Train Loss: 2.0035 | Train Acc: 0.3333
 Site-White-1                  | Train Loss: 1.8430 | Train Acc: 0.3125
 Site-White-2                  | Train Loss: 1.7426 | Train Acc: 0.4194
 Site-White-3                  | Train Loss: 1.8302 | Train Acc: 0.3059
 Site-White-4                  | Train Loss: 1.8180 | Train Acc: 0.3214
 Site-White-5                  | Train Loss: 1.7860 | Train Acc: 0.3333
 Site-White-6                  | Train Loss: 1.8290 | Train Acc: 0.3281
 Site-White-7                  | Train Loss: 1.8163 | Train Acc: 0.3413
 Site-White-8                  | Train Loss: 1.8253 | Train Acc: 0.3433
 Site-White-9                  | Train Loss: 1.8068 | Train Acc: 0.3310
 Site-Black-0                  | Train Loss: 1.8997 | Train Acc: 0.2877
 Site-Black-1                  | Train Loss: 2.0305 | Train Acc: 0.2694
 Site-White-0                       | Val  Loss: 1.5823 | Val  Acc: 0.4444
 Site-White-1                       | Val  Loss: 1.6869 | Val  Acc: 0.4167
 Site-White-2                       | Val  Loss: 1.9926 | Val  Acc: 0.1875
 Site-White-3                       | Val  Loss: 1.7730 | Val  Acc: 0.3636
 Site-White-4                       | Val  Loss: 1.9434 | Val  Acc: 0.2857
 Site-White-5                       | Val  Loss: 1.8762 | Val  Acc: 0.3243
 Site-White-6                       | Val  Loss: 1.8794 | Val  Acc: 0.3265
 Site-White-7                       | Val  Loss: 1.8176 | Val  Acc: 0.3281
 Site-White-8                       | Val  Loss: 1.8602 | Val  Acc: 0.2976
 Site-White-9                       | Val  Loss: 1.8594 | Val  Acc: 0.3853
 Site-Black-0                       | Val  Loss: 2.0100 | Val  Acc: 0.1622
 Site-Black-1                       | Val  Loss: 1.8945 | Val  Acc: 0.2449
Average Valid Accuracy: 0.3139
============ Train epoch 11 ============
 Site-White-0                  | Train Loss: 1.6622 | Train Acc: 0.2778
 Site-White-1                  | Train Loss: 1.8322 | Train Acc: 0.3542
 Site-White-2                  | Train Loss: 1.7146 | Train Acc: 0.3710
 Site-White-3                  | Train Loss: 1.8397 | Train Acc: 0.3176
 Site-White-4                  | Train Loss: 1.7768 | Train Acc: 0.3214
 Site-White-5                  | Train Loss: 1.7804 | Train Acc: 0.3469
 Site-White-6                  | Train Loss: 1.8134 | Train Acc: 0.3281
 Site-White-7                  | Train Loss: 1.7992 | Train Acc: 0.3294
 Site-White-8                  | Train Loss: 1.8183 | Train Acc: 0.3403
 Site-White-9                  | Train Loss: 1.7952 | Train Acc: 0.3241
 Site-Black-0                  | Train Loss: 1.8958 | Train Acc: 0.2671
 Site-Black-1                  | Train Loss: 1.8432 | Train Acc: 0.2591
 Site-White-0                       | Val  Loss: 1.6018 | Val  Acc: 0.4444
 Site-White-1                       | Val  Loss: 1.6597 | Val  Acc: 0.4167
 Site-White-2                       | Val  Loss: 1.9897 | Val  Acc: 0.2500
 Site-White-3                       | Val  Loss: 1.7563 | Val  Acc: 0.4091
 Site-White-4                       | Val  Loss: 1.9176 | Val  Acc: 0.3214
 Site-White-5                       | Val  Loss: 1.8622 | Val  Acc: 0.3243
 Site-White-6                       | Val  Loss: 1.8859 | Val  Acc: 0.3265
 Site-White-7                       | Val  Loss: 1.8010 | Val  Acc: 0.3281
 Site-White-8                       | Val  Loss: 1.8372 | Val  Acc: 0.2976
