===2023-06-01 10:00:50===
===Setting===
    dataset: fairface
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: -1
    quantile: 0
    std_rw: False
    gender_label: False
    binary_race: False
data_number=[18,27,40,58,87,127,188,276,406,442,42,61,91,134,197,290,418,67,99,146,215,316,124,182,268,158,232,266,181,]
client_nums=[10,7,5,3,2,1,1,]
domain number = -1
============ Train epoch 0 ============
 Site-White_Female                  | Val  Loss: 2.1084 | Val  Acc: 0.3333
 Site-White_Male                    | Val  Loss: 2.1445 | Val  Acc: 0.2308
 Site-White_Female                  | Val  Loss: 2.0917 | Val  Acc: 0.1795
 Site-White_Male                    | Val  Loss: 2.1374 | Val  Acc: 0.2069
 Site-White_Female                  | Val  Loss: 2.0898 | Val  Acc: 0.3059
 Site-White_Male                    | Val  Loss: 2.1337 | Val  Acc: 0.1920
 Site-White_Female                  | Val  Loss: 2.0949 | Val  Acc: 0.2772
 Site-White_Male                    | Val  Loss: 2.1308 | Val  Acc: 0.2140
 Site-White_Female                  | Val  Loss: 2.0972 | Val  Acc: 0.2925
 Site-Latino_Hispanic_Male          | Val  Loss: 2.1487 | Val  Acc: 0.0357
 Site-Latino_Hispanic_Female        | Val  Loss: 2.1224 | Val  Acc: 0.1951
 Site-Latino_Hispanic_Male          | Val  Loss: 2.0889 | Val  Acc: 0.3000
 Site-Latino_Hispanic_Female        | Val  Loss: 2.1229 | Val  Acc: 0.2022
 Site-Latino_Hispanic_Male          | Val  Loss: 2.0854 | Val  Acc: 0.2443
 Site-Latino_Hispanic_Female        | Val  Loss: 2.1083 | Val  Acc: 0.2591
 Site-Latino_Hispanic_Male          | Val  Loss: 2.1199 | Val  Acc: 0.2662
 Site-Black_Female                  | Val  Loss: 2.1484 | Val  Acc: 0.2000
 Site-Black_Male                    | Val  Loss: 2.1672 | Val  Acc: 0.2273
 Site-Black_Female                  | Val  Loss: 2.1395 | Val  Acc: 0.2165
 Site-Black_Male                    | Val  Loss: 2.0953 | Val  Acc: 0.2517
 Site-Black_Female                  | Val  Loss: 2.1322 | Val  Acc: 0.1848
 Site-East_Asian_Male               | Val  Loss: 2.1269 | Val  Acc: 0.1707
 Site-East_Asian_Female             | Val  Loss: 2.0903 | Val  Acc: 0.2562
 Site-East_Asian_Male               | Val  Loss: 2.1162 | Val  Acc: 0.1910
