===2023-05-26 21:48:56===
===Setting===
    dataset: fairface
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 11
    std_rw: False
data_number=[18,27,40,58,87,127,188,276,406,442,42,61,91,134,197,290,418,67,99,146,215,316,124,182,268,158,232,266,181,]
client_nums=[10,7,5,3,2,1,1,]
domain number = 11
multiply 100 for Ea!
use train loss for Ea
============ Train epoch 0 ============
cnt=[4, 6, 7, 2, 1, 1, 1, 3, 1, 1, 2, ]
power_decay: 0.9, powerI: 0.9500, powerC: 0.0500
sum of wi : 1.0000
 Site-White_Male               | Train Loss: 1.9889 | Train Acc: 0.2644
 Site-White_Female             | Train Loss: 1.7263 | Train Acc: 0.3780
 Site-White_Male               | Train Loss: 1.8933 | Train Acc: 0.2660
 Site-White_Female             | Train Loss: 1.7952 | Train Acc: 0.3587
 Site-White_Male               | Train Loss: 1.9141 | Train Acc: 0.2833
 Site-White_Female             | Train Loss: 1.7567 | Train Acc: 0.3756
 Site-Latino_Hispanic_Male     | Train Loss: 1.8319 | Train Acc: 0.1905
 Site-Latino_Hispanic_Female   | Train Loss: 1.9084 | Train Acc: 0.2623
 Site-Latino_Hispanic_Male     | Train Loss: 1.9069 | Train Acc: 0.2088
 Site-Latino_Hispanic_Female   | Train Loss: 1.9651 | Train Acc: 0.2910
 Site-Latino_Hispanic_Male     | Train Loss: 1.9734 | Train Acc: 0.2690
 Site-Latino_Hispanic_Female   | Train Loss: 1.8598 | Train Acc: 0.2862
 Site-Latino_Hispanic_Male     | Train Loss: 1.9018 | Train Acc: 0.2464
 Site-Black_Female             | Train Loss: 2.1269 | Train Acc: 0.2388
 Site-Black_Male               | Train Loss: 1.9282 | Train Acc: 0.2222
 Site-Black_Female             | Train Loss: 1.8566 | Train Acc: 0.3288
 Site-Black_Male               | Train Loss: 1.9231 | Train Acc: 0.2605
 Site-Black_Female             | Train Loss: 1.8398 | Train Acc: 0.3133
 Site-East_Asian_Male          | Train Loss: 1.8132 | Train Acc: 0.2984
 Site-East_Asian_Female        | Train Loss: 1.6660 | Train Acc: 0.4505
 Site-East_Asian_Male          | Train Loss: 1.8547 | Train Acc: 0.3060
 Site-Indian_Female            | Train Loss: 2.0227 | Train Acc: 0.2595
 Site-Indian_Male              | Train Loss: 1.9078 | Train Acc: 0.2284
 Site-Southeast_Asian_Female   | Train Loss: 1.9536 | Train Acc: 0.3271
 Site-Middle_Eastern_Male      | Train Loss: 2.0353 | Train Acc: 0.2155
 Site-White_Male                (6) | Val  Loss: 1.7069 | Val  Acc: 0.4167
 Site-White_Female              (5) | Val  Loss: 1.9318 | Val  Acc: 0.2778
 Site-White_Male                (8) | Val  Loss: 1.9723 | Val  Acc: 0.2308
 Site-White_Female              (4) | Val  Loss: 1.7168 | Val  Acc: 0.4103
 Site-White_Male                (3) | Val  Loss: 1.9015 | Val  Acc: 0.2414
 Site-White_Female              (4) | Val  Loss: 1.7592 | Val  Acc: 0.3882
 Site-White_Male                (3) | Val  Loss: 1.8948 | Val  Acc: 0.2720
 Site-White_Female              (4) | Val  Loss: 1.7833 | Val  Acc: 0.3804
 Site-White_Male                (3) | Val  Loss: 1.8353 | Val  Acc: 0.2731
 Site-White_Female              (4) | Val  Loss: 1.7704 | Val  Acc: 0.3741
 Site-Latino_Hispanic_Male      (9) | Val  Loss: 1.9816 | Val  Acc: 0.2500
 Site-Latino_Hispanic_Female    (1) | Val  Loss: 1.9596 | Val  Acc: 0.2683
 Site-Latino_Hispanic_Male      (3) | Val  Loss: 1.8161 | Val  Acc: 0.3500
 Site-Latino_Hispanic_Female    (1) | Val  Loss: 1.8950 | Val  Acc: 0.2584
 Site-Latino_Hispanic_Male      (3) | Val  Loss: 1.7706 | Val  Acc: 0.1832
 Site-Latino_Hispanic_Female    (1) | Val  Loss: 1.7378 | Val  Acc: 0.2228
 Site-Latino_Hispanic_Male      (3) | Val  Loss: 1.8891 | Val  Acc: 0.2158
 Site-Black_Female              (2) | Val  Loss: 1.9885 | Val  Acc: 0.2889
 Site-Black_Male                (7) | Val  Loss: 2.1686 | Val  Acc: 0.2576
 Site-Black_Female              (2) | Val  Loss: 1.9044 | Val  Acc: 0.2887
 Site-Black_Male                (7) | Val  Loss: 1.7141 | Val  Acc: 0.2867
 Site-Black_Female              (2) | Val  Loss: 1.8058 | Val  Acc: 0.2986
 Site-East_Asian_Male           (0) | Val  Loss: 1.9034 | Val  Acc: 0.3537
 Site-East_Asian_Female         (10)| Val  Loss: 1.6571 | Val  Acc: 0.4545
 Site-East_Asian_Male           (0) | Val  Loss: 1.8477 | Val  Acc: 0.3090
 Site-Indian_Female             (10)| Val  Loss: 2.0282 | Val  Acc: 0.2952
 Site-Indian_Male               (3) | Val  Loss: 1.9643 | Val  Acc: 0.2387
 Site-Southeast_Asian_Female    (10)| Val  Loss: 2.0440 | Val  Acc: 0.2712
 Site-Middle_Eastern_Male       (3) | Val  Loss: 2.0953 | Val  Acc: 0.1750
Average Valid Accuracy: 0.2942
Aggregated Acc | Val Acc: 0.2993
 Best site-White_Male               (6)  | Epoch:3 | Val Acc: 0.4167
 Best site-White_Female             (5)  | Epoch:3 | Val Acc: 0.2778
 Best site-White_Male               (8)  | Epoch:3 | Val Acc: 0.2308
 Best site-White_Female             (4)  | Epoch:3 | Val Acc: 0.4103
 Best site-White_Male               (3)  | Epoch:3 | Val Acc: 0.2414
 Best site-White_Female             (4)  | Epoch:3 | Val Acc: 0.3882
 Best site-White_Male               (3)  | Epoch:3 | Val Acc: 0.2720
 Best site-White_Female             (4)  | Epoch:3 | Val Acc: 0.3804
 Best site-White_Male               (3)  | Epoch:3 | Val Acc: 0.2731
 Best site-White_Female             (4)  | Epoch:3 | Val Acc: 0.3741
 Best site-Latino_Hispanic_Male     (9)  | Epoch:3 | Val Acc: 0.2500
 Best site-Latino_Hispanic_Female   (1)  | Epoch:3 | Val Acc: 0.2683
 Best site-Latino_Hispanic_Male     (3)  | Epoch:3 | Val Acc: 0.3500
 Best site-Latino_Hispanic_Female   (1)  | Epoch:3 | Val Acc: 0.2584
 Best site-Latino_Hispanic_Male     (3)  | Epoch:3 | Val Acc: 0.1832
 Best site-Latino_Hispanic_Female   (1)  | Epoch:3 | Val Acc: 0.2228
