===2023-08-07 12:58:49===
===Setting===
    dataset: pacs
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 4
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[14,18,24,31,40,52,68,88,113,146,12,22,40,72,128,11,115,58,
client_nums=[10,5,2,1,]
len_dataset=[1000,462,213,98,]
domain number = 4
============ Train epoch 0 ============
 Site-photo                         | Val  Loss: 0.1160 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 0.1061 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 0.1587 | Val  Acc: 0.9794
 Site-art_painting                  | Val  Loss: 0.7179 | Val  Acc: 0.8750
 Site-art_painting                  | Val  Loss: 0.6078 | Val  Acc: 0.9333
 Site-art_painting                  | Val  Loss: 0.6472 | Val  Acc: 0.8846
 Site-art_painting                  | Val  Loss: 0.7934 | Val  Acc: 0.7447
 Site-art_painting                  | Val  Loss: 0.7275 | Val  Acc: 0.8706
 Site-cartoon                       | Val  Loss: 1.1256 | Val  Acc: 0.7143
 Site-cartoon                       | Val  Loss: 1.0780 | Val  Acc: 0.7273
 Site-sketch                        | Val  Loss: 1.6298 | Val  Acc: 0.3333
Average Valid Accuracy: 0.8887
============ Train epoch 6 ============
 Site-photo                         | Train Loss: 0.0627 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.0682 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.1527 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.1058 | Train Acc: 0.9677
 Site-photo                         | Train Loss: 0.1334 | Train Acc: 0.9500
 Site-photo                         | Train Loss: 0.1280 | Train Acc: 0.9808
 Site-photo                         | Train Loss: 0.0588 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.0791 | Train Acc: 0.9886
 Site-photo                         | Train Loss: 0.1074 | Train Acc: 0.9823
 Site-photo                         | Train Loss: 0.0809 | Train Acc: 0.9932
 Site-art_painting                  | Train Loss: 0.6300 | Train Acc: 0.8333
 Site-art_painting                  | Train Loss: 0.9369 | Train Acc: 0.8182
 Site-art_painting                  | Train Loss: 0.8127 | Train Acc: 0.7500
 Site-art_painting                  | Train Loss: 0.5937 | Train Acc: 0.8750
 Site-art_painting                  | Train Loss: 0.5989 | Train Acc: 0.9141
 Site-cartoon                       | Train Loss: 1.2440 | Train Acc: 0.5455
 Site-cartoon                       | Train Loss: 1.0014 | Train Acc: 0.7565
 Site-sketch                        | Train Loss: 1.5340 | Train Acc: 0.3621
Average Train Accuracy: 0.8732
 Site-photo                         | Val  Loss: 0.2332 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 0.1656 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 0.0858 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 0.0946 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 0.1806 | Val  Acc: 0.9259
 Site-photo                         | Val  Loss: 0.0882 | Val  Acc: 0.9714
 Site-photo                         | Val  Loss: 0.0661 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 0.0707 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 0.0715 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 0.1572 | Val  Acc: 0.9794
 Site-art_painting                  | Val  Loss: 0.3549 | Val  Acc: 1.0000
 Site-art_painting                  | Val  Loss: 0.5249 | Val  Acc: 0.9333
 Site-art_painting                  | Val  Loss: 0.4414 | Val  Acc: 1.0000
 Site-art_painting                  | Val  Loss: 0.6683 | Val  Acc: 0.8511
 Site-art_painting                  | Val  Loss: 0.6452 | Val  Acc: 0.8471
 Site-cartoon                       | Val  Loss: 1.3371 | Val  Acc: 0.7143
 Site-cartoon                       | Val  Loss: 0.9775 | Val  Acc: 0.7403
 Site-sketch                        | Val  Loss: 1.5143 | Val  Acc: 0.3333
Average Valid Accuracy: 0.9053
 Best site-photo                     | Epoch:6 | Val Acc: 1.0000
 Best site-photo                     | Epoch:6 | Val Acc: 1.0000
 Best site-photo                     | Epoch:6 | Val Acc: 1.0000
 Best site-photo                     | Epoch:6 | Val Acc: 1.0000
 Best site-photo                     | Epoch:6 | Val Acc: 0.9259
 Best site-photo                     | Epoch:6 | Val Acc: 0.9714
 Best site-photo                     | Epoch:6 | Val Acc: 1.0000
 Best site-photo                     | Epoch:6 | Val Acc: 1.0000
 Best site-photo                     | Epoch:6 | Val Acc: 1.0000
 Best site-photo                     | Epoch:6 | Val Acc: 0.9794
 Best site-art_painting              | Epoch:6 | Val Acc: 1.0000
