===2023-08-07 09:20:20===
===Setting===
    dataset: pacs
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 4
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[14,18,24,31,40,52,68,88,113,146,12,22,40,72,128,11,115,58,
client_nums=[10,5,2,1,]
len_dataset=[1000,462,213,98,]
domain number = 4
============ Train epoch 0 ============
 Site-art_painting                  | Val  Loss: 0.8463 | Val  Acc: 0.8750
 Site-art_painting                  | Val  Loss: 0.8945 | Val  Acc: 0.9333
 Site-art_painting                  | Val  Loss: 0.7839 | Val  Acc: 0.8846
 Site-art_painting                  | Val  Loss: 0.9691 | Val  Acc: 0.7872
 Site-art_painting                  | Val  Loss: 0.9347 | Val  Acc: 0.8235
 Site-cartoon                       | Val  Loss: 1.1583 | Val  Acc: 0.8571
 Site-cartoon                       | Val  Loss: 1.2449 | Val  Acc: 0.7403
 Site-sketch                        | Val  Loss: 1.6713 | Val  Acc: 0.4359
Average Valid Accuracy: 0.9016
 Best site-photo                     | Epoch:3 | Val Acc: 1.0000
 Best site-photo                     | Epoch:3 | Val Acc: 1.0000
 Best site-photo                     | Epoch:3 | Val Acc: 1.0000
 Best site-photo                     | Epoch:3 | Val Acc: 1.0000
 Best site-photo                     | Epoch:3 | Val Acc: 0.9630
 Best site-photo                     | Epoch:3 | Val Acc: 0.9714
 Best site-photo                     | Epoch:3 | Val Acc: 0.9778
 Best site-photo                     | Epoch:3 | Val Acc: 1.0000
 Best site-photo                     | Epoch:3 | Val Acc: 1.0000
 Best site-photo                     | Epoch:3 | Val Acc: 0.9794
 Best site-art_painting              | Epoch:3 | Val Acc: 0.8750
 Best site-art_painting              | Epoch:3 | Val Acc: 0.9333
 Best site-art_painting              | Epoch:3 | Val Acc: 0.8846
 Best site-art_painting              | Epoch:3 | Val Acc: 0.7872
 Best site-art_painting              | Epoch:3 | Val Acc: 0.8235
 Best site-cartoon                   | Epoch:3 | Val Acc: 0.8571
 Best site-cartoon                   | Epoch:3 | Val Acc: 0.7403
 Best site-sketch                    | Epoch:3 | Val Acc: 0.4359
 Saving the local and server checkpoint to ../checkpoint/fed_pacs_uneven_2.16_1/harmo-fl...
============ Train epoch 4 ============
 Site-photo                         | Train Loss: 0.1638 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.2414 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.3216 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.1234 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.2477 | Train Acc: 0.9500
 Site-photo                         | Train Loss: 0.2623 | Train Acc: 0.9808
 Site-photo                         | Train Loss: 0.1494 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.1580 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.2125 | Train Acc: 0.9735
 Site-photo                         | Train Loss: 0.1808 | Train Acc: 1.0000
 Site-art_painting                  | Train Loss: 0.8796 | Train Acc: 0.8333
 Site-art_painting                  | Train Loss: 1.0486 | Train Acc: 0.7727
 Site-art_painting                  | Train Loss: 0.9466 | Train Acc: 0.8000
 Site-art_painting                  | Train Loss: 0.7384 | Train Acc: 0.8889
 Site-art_painting                  | Train Loss: 0.7936 | Train Acc: 0.8750
 Site-cartoon                       | Train Loss: 1.2479 | Train Acc: 0.7273
 Site-cartoon                       | Train Loss: 1.1549 | Train Acc: 0.7304
 Site-sketch                        | Train Loss: 1.5182 | Train Acc: 0.5000
Average Train Accuracy: 0.8907
 Site-photo                         | Val  Loss: 0.3348 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 0.1765 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 0.1621 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 0.1933 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 0.2378 | Val  Acc: 0.9630
 Site-photo                         | Val  Loss: 0.1656 | Val  Acc: 0.9714
 Site-photo                         | Val  Loss: 0.1840 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 0.2115 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 0.1666 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 0.2184 | Val  Acc: 0.9794
 Site-art_painting                  | Val  Loss: 0.7495 | Val  Acc: 0.8750
 Site-art_painting                  | Val  Loss: 0.8118 | Val  Acc: 0.8667
 Site-art_painting                  | Val  Loss: 0.8123 | Val  Acc: 0.8077
 Site-art_painting                  | Val  Loss: 0.8182 | Val  Acc: 0.8723
 Site-art_painting                  | Val  Loss: 0.7955 | Val  Acc: 0.8235
 Site-cartoon                       | Val  Loss: 1.2800 | Val  Acc: 0.7143
 Site-cartoon                       | Val  Loss: 1.1518 | Val  Acc: 0.7143
 Site-sketch                        | Val  Loss: 1.5635 | Val  Acc: 0.4615
Average Valid Accuracy: 0.8916
============ Train epoch 5 ============
 Site-photo                         | Train Loss: 0.0846 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.1355 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.1955 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.0853 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.1557 | Train Acc: 0.9500
 Site-photo                         | Train Loss: 0.1615 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.1012 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.1201 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.1444 | Train Acc: 0.9823
 Site-photo                         | Train Loss: 0.1299 | Train Acc: 1.0000
 Site-art_painting                  | Train Loss: 0.8137 | Train Acc: 0.8333
 Site-art_painting                  | Train Loss: 0.9551 | Train Acc: 0.7273
 Site-art_painting                  | Train Loss: 0.7956 | Train Acc: 0.8000
 Site-art_painting                  | Train Loss: 0.5175 | Train Acc: 0.9167
 Site-art_painting                  | Train Loss: 0.7027 | Train Acc: 0.8750
 Site-cartoon                       | Train Loss: 1.2607 | Train Acc: 0.6364
 Site-cartoon                       | Train Loss: 1.0378 | Train Acc: 0.7478
 Site-sketch                        | Train Loss: 1.5105 | Train Acc: 0.4655
Average Train Accuracy: 0.8852
 Site-photo                         | Val  Loss: 0.1878 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 0.1455 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 0.1013 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 0.1331 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 0.1870 | Val  Acc: 0.9630
 Site-photo                         | Val  Loss: 0.1386 | Val  Acc: 0.9714
 Site-photo                         | Val  Loss: 0.1032 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 0.1176 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 0.1055 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 0.1594 | Val  Acc: 0.9794
 Site-art_painting                  | Val  Loss: 0.6940 | Val  Acc: 0.8750
 Site-art_painting                  | Val  Loss: 0.6559 | Val  Acc: 0.8667
 Site-art_painting                  | Val  Loss: 0.6590 | Val  Acc: 0.8846
 Site-art_painting                  | Val  Loss: 0.8298 | Val  Acc: 0.7234
 Site-art_painting                  | Val  Loss: 0.7328 | Val  Acc: 0.8824
 Site-cartoon                       | Val  Loss: 1.1206 | Val  Acc: 0.7143
 Site-cartoon                       | Val  Loss: 1.0828 | Val  Acc: 0.7532
