===2023-06-16 15:02:30===
===Setting===
    dataset: fairface
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: -1
    quantile: 0
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix: False
    mix2: False
    mix3: False
    mix4: False
data_number=[27,39,58,86,128,188,277,407,599,881,60,89,132,194,285,235,347,270,]
client_nums=[10,5,2,1,]
len_dataset=[7712,2184,1668,775,]
domain number = -1
============ Train epoch 0 ============
denominator: 40193.75
Average Train Accuracy: 0.2599
 Site-White-0                       | Val  Loss: 2.0882 | Val  Acc: 0.0000
 Site-White-1                       | Val  Loss: 2.0393 | Val  Acc: 0.6000
 Site-White-2                       | Val  Loss: 2.1299 | Val  Acc: 0.1250
 Site-White-3                       | Val  Loss: 2.0867 | Val  Acc: 0.1667
 Site-White-4                       | Val  Loss: 2.0706 | Val  Acc: 0.4444
 Site-White-5                       | Val  Loss: 2.1255 | Val  Acc: 0.1923
 Site-White-6                       | Val  Loss: 2.1133 | Val  Acc: 0.2051
 Site-White-7                       | Val  Loss: 2.0988 | Val  Acc: 0.2759
 Site-White-8                       | Val  Loss: 2.1149 | Val  Acc: 0.2588
 Site-White-9                       | Val  Loss: 2.0893 | Val  Acc: 0.3520
 Site-Indian-0                      | Val  Loss: 2.2661 | Val  Acc: 0.1250
 Site-Indian-1                      | Val  Loss: 2.2012 | Val  Acc: 0.0000
 Site-Indian-2                      | Val  Loss: 2.1401 | Val  Acc: 0.2222
 Site-Indian-3                      | Val  Loss: 2.1537 | Val  Acc: 0.1852
 Site-Indian-4                      | Val  Loss: 2.1587 | Val  Acc: 0.2250
 Site-Middle_Eastern-0              | Val  Loss: 2.1105 | Val  Acc: 0.2424
 Site-Middle_Eastern-1              | Val  Loss: 2.1655 | Val  Acc: 0.1429
 Site-Black_utk-0                   | Val  Loss: 2.1402 | Val  Acc: 0.1579
Average Valid Accuracy: 0.2178
 Best site-White-0                   | Epoch:3 | Val Acc: 0.0000
 Best site-White-1                   | Epoch:3 | Val Acc: 0.6000
 Best site-White-2                   | Epoch:3 | Val Acc: 0.1250
 Best site-White-3                   | Epoch:3 | Val Acc: 0.1667
 Best site-White-4                   | Epoch:3 | Val Acc: 0.4444
 Best site-White-5                   | Epoch:3 | Val Acc: 0.1923
 Best site-White-6                   | Epoch:3 | Val Acc: 0.2051
 Best site-White-7                   | Epoch:3 | Val Acc: 0.2759
 Best site-White-8                   | Epoch:3 | Val Acc: 0.2588
 Best site-White-9                   | Epoch:3 | Val Acc: 0.3520
 Best site-Indian-0                  | Epoch:3 | Val Acc: 0.1250
 Best site-Indian-1                  | Epoch:3 | Val Acc: 0.0000
 Best site-Indian-2                  | Epoch:3 | Val Acc: 0.2222
 Best site-Indian-3                  | Epoch:3 | Val Acc: 0.1852
 Best site-Indian-4                  | Epoch:3 | Val Acc: 0.2250
 Best site-Middle_Eastern-0          | Epoch:3 | Val Acc: 0.2424
 Best site-Middle_Eastern-1          | Epoch:3 | Val Acc: 0.1429
 Best site-Black_utk-0               | Epoch:3 | Val Acc: 0.1579
 Saving the local and server checkpoint to ../checkpoint/fed_fairface_uneven_2.15_1_random_dis_cluster_-1_weak_white_split/q-ffl...
============ Train epoch 4 ============
denominator: 38051.5
 Site-White-0                       | Train Loss: 2.0897 | Train Acc: 0.3333
 Site-White-1                       | Train Loss: 2.0791 | Train Acc: 0.3077
 Site-White-2                       | Train Loss: 2.0692 | Train Acc: 0.3448
 Site-White-3                       | Train Loss: 2.0516 | Train Acc: 0.3721
 Site-White-4                       | Train Loss: 2.0665 | Train Acc: 0.3438
 Site-White-5                       | Train Loss: 2.0701 | Train Acc: 0.3138
