===2023-06-16 12:57:30===
===Setting===
    dataset: fairface
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: -1
    quantile: 0
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix: False
    mix2: False
    mix3: False
    mix4: False
data_number=[27,39,58,86,128,188,277,407,599,881,60,89,132,194,285,235,347,270,]
client_nums=[10,5,2,1,]
len_dataset=[7712,2184,1668,775,]
domain number = -1
============ Train epoch 0 ============
 Site-White-8                       | Val  Loss: 1.6442 | Val  Acc: 0.4706
 Site-White-9                       | Val  Loss: 1.6712 | Val  Acc: 0.3280
 Site-Indian-0                      | Val  Loss: 2.1745 | Val  Acc: 0.2500
 Site-Indian-1                      | Val  Loss: 2.1675 | Val  Acc: 0.1667
 Site-Indian-2                      | Val  Loss: 1.8119 | Val  Acc: 0.2778
 Site-Indian-3                      | Val  Loss: 1.8880 | Val  Acc: 0.2593
 Site-Indian-4                      | Val  Loss: 1.7621 | Val  Acc: 0.3500
 Site-Middle_Eastern-0              | Val  Loss: 1.8303 | Val  Acc: 0.3030
 Site-Middle_Eastern-1              | Val  Loss: 1.7961 | Val  Acc: 0.3469
 Site-Black_utk-0                   | Val  Loss: 1.8369 | Val  Acc: 0.3421
Average Valid Accuracy: 0.3225
 Best site-White-0                   | Epoch:3 | Val Acc: 0.3333
 Best site-White-1                   | Epoch:3 | Val Acc: 0.2000
 Best site-White-2                   | Epoch:3 | Val Acc: 0.2500
 Best site-White-3                   | Epoch:3 | Val Acc: 0.3333
 Best site-White-4                   | Epoch:3 | Val Acc: 0.5556
 Best site-White-5                   | Epoch:3 | Val Acc: 0.3077
 Best site-White-6                   | Epoch:3 | Val Acc: 0.3333
 Best site-White-7                   | Epoch:3 | Val Acc: 0.3966
 Best site-White-8                   | Epoch:3 | Val Acc: 0.4706
 Best site-White-9                   | Epoch:3 | Val Acc: 0.3280
 Best site-Indian-0                  | Epoch:3 | Val Acc: 0.2500
 Best site-Indian-1                  | Epoch:3 | Val Acc: 0.1667
 Best site-Indian-2                  | Epoch:3 | Val Acc: 0.2778
 Best site-Indian-3                  | Epoch:3 | Val Acc: 0.2593
 Best site-Indian-4                  | Epoch:3 | Val Acc: 0.3500
 Best site-Middle_Eastern-0          | Epoch:3 | Val Acc: 0.3030
 Best site-Middle_Eastern-1          | Epoch:3 | Val Acc: 0.3469
 Best site-Black_utk-0               | Epoch:3 | Val Acc: 0.3421
 Saving the local and server checkpoint to ../checkpoint/fed_fairface_uneven_2.15_1_random_dis_cluster_-1_weak_white_split/CoCoOP...
============ Train epoch 4 ============
 Site-White-0                       | Train Loss: 1.6379 | Train Acc: 0.4074
 Site-White-1                       | Train Loss: 1.5632 | Train Acc: 0.5128
 Site-White-2                       | Train Loss: 1.6913 | Train Acc: 0.3621
 Site-White-3                       | Train Loss: 1.5804 | Train Acc: 0.3140
 Site-White-4                       | Train Loss: 1.6223 | Train Acc: 0.3438
 Site-White-5                       | Train Loss: 1.6258 | Train Acc: 0.3883
 Site-White-6                       | Train Loss: 1.5353 | Train Acc: 0.4079
 Site-White-7                       | Train Loss: 1.5398 | Train Acc: 0.4226
 Site-White-8                       | Train Loss: 1.5617 | Train Acc: 0.4140
 Site-White-9                       | Train Loss: 1.5332 | Train Acc: 0.4109
 Site-Indian-0                      | Train Loss: 1.7104 | Train Acc: 0.3167
 Site-Indian-1                      | Train Loss: 1.7555 | Train Acc: 0.3258
 Site-Indian-2                      | Train Loss: 1.7750 | Train Acc: 0.2879
 Site-Indian-3                      | Train Loss: 1.6518 | Train Acc: 0.3351
 Site-Indian-4                      | Train Loss: 1.7084 | Train Acc: 0.3649
 Site-Middle_Eastern-0              | Train Loss: 1.6403 | Train Acc: 0.3660
 Site-Middle_Eastern-1              | Train Loss: 1.7004 | Train Acc: 0.3401
 Site-Black_utk-0                   | Train Loss: 1.7953 | Train Acc: 0.3111
Average Train Accuracy: 0.3684
 Site-White-0                       | Val  Loss: 1.8763 | Val  Acc: 0.3333
 Site-White-1                       | Val  Loss: 1.5463 | Val  Acc: 0.4000
 Site-White-2                       | Val  Loss: 1.4781 | Val  Acc: 0.3750
 Site-White-3                       | Val  Loss: 1.7198 | Val  Acc: 0.2500
