===2023-08-04 09:25:53===
===Setting===
    dataset: modern
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 4
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[28,37,47,61,79,103,133,172,222,287,24,37,55,83,124,50,100,69,
client_nums=[10,5,2,1,]
len_dataset=[1959,544,251,116,]
domain number = 4
============ Train epoch 0 ============
 Site-amazon                        | Train Loss: 3.1083 | Train Acc: 0.7143
 Site-amazon                        | Train Loss: 3.0409 | Train Acc: 0.7838
 Site-amazon                        | Train Loss: 3.0264 | Train Acc: 0.8298
 Site-amazon                        | Train Loss: 3.0220 | Train Acc: 0.7869
 Site-amazon                        | Train Loss: 3.0393 | Train Acc: 0.8481
 Site-amazon                        | Train Loss: 3.0260 | Train Acc: 0.7864
 Site-amazon                        | Train Loss: 3.0469 | Train Acc: 0.8346
 Site-amazon                        | Train Loss: 3.0371 | Train Acc: 0.8023
 Site-amazon                        | Train Loss: 3.0167 | Train Acc: 0.8063
 Site-amazon                        | Train Loss: 3.0347 | Train Acc: 0.7979
 Site-webcam                        | Train Loss: 3.0910 | Train Acc: 0.7083
 Site-webcam                        | Train Loss: 3.1357 | Train Acc: 0.6486
 Site-webcam                        | Train Loss: 3.0982 | Train Acc: 0.6545
 Site-webcam                        | Train Loss: 3.0541 | Train Acc: 0.7711
 Site-webcam                        | Train Loss: 3.1062 | Train Acc: 0.6935
 Site-dslr                          | Train Loss: 3.1403 | Train Acc: 0.7000
 Site-dslr                          | Train Loss: 3.0691 | Train Acc: 0.7500
 Site-synthetic                     | Train Loss: 3.2390 | Train Acc: 0.2609
Average Train Accuracy: 0.7321
 Site-amazon                        | Val  Loss: 2.9607 | Val  Acc: 0.8947
 Site-amazon                        | Val  Loss: 2.9973 | Val  Acc: 0.8333
 Site-amazon                        | Val  Loss: 3.0299 | Val  Acc: 0.7419
 Site-amazon                        | Val  Loss: 3.0465 | Val  Acc: 0.7805
 Site-amazon                        | Val  Loss: 3.0465 | Val  Acc: 0.8491
 Site-amazon                        | Val  Loss: 2.9912 | Val  Acc: 0.8382
 Site-amazon                        | Val  Loss: 3.0374 | Val  Acc: 0.7614
 Site-amazon                        | Val  Loss: 3.0465 | Val  Acc: 0.7105
 Site-amazon                        | Val  Loss: 3.0318 | Val  Acc: 0.7905
 Site-amazon                        | Val  Loss: 3.0363 | Val  Acc: 0.7801
 Site-webcam                        | Val  Loss: 3.1363 | Val  Acc: 0.4375
 Site-webcam                        | Val  Loss: 3.1019 | Val  Acc: 0.7083
 Site-webcam                        | Val  Loss: 3.0662 | Val  Acc: 0.8108
 Site-webcam                        | Val  Loss: 3.0993 | Val  Acc: 0.7455
 Site-webcam                        | Val  Loss: 3.0739 | Val  Acc: 0.7683
 Site-dslr                          | Val  Loss: 3.0519 | Val  Acc: 0.6970
 Site-dslr                          | Val  Loss: 3.0887 | Val  Acc: 0.7273
 Site-synthetic                     | Val  Loss: 3.2483 | Val  Acc: 0.2609
Average Valid Accuracy: 0.7298
 Best site-amazon                    | Epoch:3 | Val Acc: 0.8947
 Best site-amazon                    | Epoch:3 | Val Acc: 0.8333
 Best site-amazon                    | Epoch:3 | Val Acc: 0.7419
 Best site-amazon                    | Epoch:3 | Val Acc: 0.7805
 Best site-amazon                    | Epoch:3 | Val Acc: 0.8491
 Best site-amazon                    | Epoch:3 | Val Acc: 0.8382
 Best site-amazon                    | Epoch:3 | Val Acc: 0.7614
 Best site-amazon                    | Epoch:3 | Val Acc: 0.7105
 Best site-amazon                    | Epoch:3 | Val Acc: 0.7905
