===2023-08-03 21:55:51===
===Setting===
    dataset: modern
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 4
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[20,26,34,44,57,73,95,123,159,205,18,32,57,101,180,13,131,67,
client_nums=[10,5,2,1,]
len_dataset=[1403,649,243,112,]
domain number = 4
============ Train epoch 0 ============
 Site-amazon                        | Train Loss: 1.0922 | Train Acc: 0.9474
 Site-amazon                        | Train Loss: 1.1804 | Train Acc: 0.8767
 Site-amazon                        | Train Loss: 1.2109 | Train Acc: 0.8526
 Site-amazon                        | Train Loss: 1.0913 | Train Acc: 0.9268
 Site-amazon                        | Train Loss: 1.0311 | Train Acc: 0.9371
 Site-amazon                        | Train Loss: 0.9786 | Train Acc: 0.9610
 Site-synthetic                     | Train Loss: 2.0265 | Train Acc: 0.5556
 Site-synthetic                     | Train Loss: 2.2060 | Train Acc: 0.5000
 Site-synthetic                     | Train Loss: 2.2656 | Train Acc: 0.5088
 Site-synthetic                     | Train Loss: 2.1248 | Train Acc: 0.5644
 Site-synthetic                     | Train Loss: 2.0758 | Train Acc: 0.5167
 Site-dslr                          | Train Loss: 1.3387 | Train Acc: 0.8462
 Site-dslr                          | Train Loss: 1.1663 | Train Acc: 0.9466
 Site-webcam                        | Train Loss: 1.3335 | Train Acc: 0.8955
Average Train Accuracy: 0.8050
 Site-amazon                        | Val  Loss: 0.6733 | Val  Acc: 1.0000
 Site-amazon                        | Val  Loss: 0.9060 | Val  Acc: 0.9412
 Site-amazon                        | Val  Loss: 1.1065 | Val  Acc: 0.9091
 Site-amazon                        | Val  Loss: 1.1098 | Val  Acc: 0.8276
 Site-amazon                        | Val  Loss: 1.0456 | Val  Acc: 0.9474
 Site-amazon                        | Val  Loss: 1.1991 | Val  Acc: 0.8571
 Site-amazon                        | Val  Loss: 0.9929 | Val  Acc: 0.9524
 Site-amazon                        | Val  Loss: 1.0089 | Val  Acc: 0.8902
 Site-amazon                        | Val  Loss: 1.1419 | Val  Acc: 0.8962
 Site-amazon                        | Val  Loss: 1.2155 | Val  Acc: 0.9051
 Site-synthetic                     | Val  Loss: 2.4794 | Val  Acc: 0.3333
 Site-synthetic                     | Val  Loss: 2.4284 | Val  Acc: 0.3333
 Site-synthetic                     | Val  Loss: 2.0477 | Val  Acc: 0.5405
 Site-synthetic                     | Val  Loss: 1.9301 | Val  Acc: 0.5522
 Site-synthetic                     | Val  Loss: 2.0473 | Val  Acc: 0.5583
 Site-dslr                          | Val  Loss: 1.3119 | Val  Acc: 0.8750
 Site-dslr                          | Val  Loss: 1.4285 | Val  Acc: 0.9091
 Site-webcam                        | Val  Loss: 1.4835 | Val  Acc: 0.7955
Average Valid Accuracy: 0.7791
============ Train epoch 4 ============
 Site-amazon                        | Train Loss: 0.7087 | Train Acc: 0.9500
 Site-amazon                        | Train Loss: 0.8301 | Train Acc: 0.9231
 Site-amazon                        | Train Loss: 0.9868 | Train Acc: 0.9412
 Site-amazon                        | Train Loss: 0.7597 | Train Acc: 0.9773
 Site-amazon                        | Train Loss: 0.8527 | Train Acc: 0.8947
 Site-amazon                        | Train Loss: 0.9505 | Train Acc: 0.9041
 Site-amazon                        | Train Loss: 0.9372 | Train Acc: 0.9053
 Site-amazon                        | Train Loss: 0.8179 | Train Acc: 0.9106
 Site-amazon                        | Train Loss: 0.7637 | Train Acc: 0.9560
 Site-amazon                        | Train Loss: 0.6185 | Train Acc: 0.9610
 Site-synthetic                     | Train Loss: 2.0210 | Train Acc: 0.5000
 Site-synthetic                     | Train Loss: 1.9352 | Train Acc: 0.4688
 Site-synthetic                     | Train Loss: 2.1014 | Train Acc: 0.5263
 Site-synthetic                     | Train Loss: 1.8770 | Train Acc: 0.6139
 Site-synthetic                     | Train Loss: 1.8254 | Train Acc: 0.5944
 Site-dslr                          | Train Loss: 0.9324 | Train Acc: 0.9231
 Site-dslr                          | Train Loss: 1.1282 | Train Acc: 0.9313
 Site-webcam                        | Train Loss: 0.9618 | Train Acc: 0.8955
Average Train Accuracy: 0.8209
 Site-amazon                        | Val  Loss: 0.4377 | Val  Acc: 1.0000
 Site-amazon                        | Val  Loss: 0.7436 | Val  Acc: 0.9412
 Site-amazon                        | Val  Loss: 0.7618 | Val  Acc: 0.9091
 Site-amazon                        | Val  Loss: 0.7617 | Val  Acc: 0.9655
 Site-amazon                        | Val  Loss: 0.7316 | Val  Acc: 1.0000
 Site-amazon                        | Val  Loss: 0.9185 | Val  Acc: 0.8980
 Site-amazon                        | Val  Loss: 0.7631 | Val  Acc: 0.9524
 Site-amazon                        | Val  Loss: 0.6884 | Val  Acc: 0.9512
 Site-amazon                        | Val  Loss: 0.8574 | Val  Acc: 0.9434
 Site-amazon                        | Val  Loss: 0.9156 | Val  Acc: 0.8978
 Site-synthetic                     | Val  Loss: 2.4321 | Val  Acc: 0.4167
 Site-synthetic                     | Val  Loss: 2.2653 | Val  Acc: 0.3333
 Site-synthetic                     | Val  Loss: 1.8282 | Val  Acc: 0.5946
 Site-synthetic                     | Val  Loss: 1.8646 | Val  Acc: 0.5970
 Site-synthetic                     | Val  Loss: 1.8412 | Val  Acc: 0.6250
 Site-dslr                          | Val  Loss: 1.0172 | Val  Acc: 1.0000
 Site-dslr                          | Val  Loss: 1.1476 | Val  Acc: 0.9205
 Site-webcam                        | Val  Loss: 1.2087 | Val  Acc: 0.8409
Average Valid Accuracy: 0.8215
 Best site-amazon                    | Epoch:4 | Val Acc: 1.0000
 Best site-amazon                    | Epoch:4 | Val Acc: 0.9412
 Best site-amazon                    | Epoch:4 | Val Acc: 0.9091
