===2023-08-04 15:28:11===
===Setting===
    dataset: modern
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 4
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[28,37,47,61,79,103,133,172,222,287,24,37,55,83,124,50,100,69,
client_nums=[10,5,2,1,]
len_dataset=[1959,544,251,116,]
domain number = 4
============ Train epoch 0 ============
 Site-webcam                        | Val  Loss: 3.1140 | Val  Acc: 0.7083
 Site-webcam                        | Val  Loss: 3.0857 | Val  Acc: 0.7838
 Site-webcam                        | Val  Loss: 3.1089 | Val  Acc: 0.6182
 Site-webcam                        | Val  Loss: 3.0678 | Val  Acc: 0.7439
 Site-dslr                          | Val  Loss: 3.0790 | Val  Acc: 0.7273
 Site-dslr                          | Val  Loss: 3.1007 | Val  Acc: 0.7121
 Site-synthetic                     | Val  Loss: 3.2546 | Val  Acc: 0.3913
Average Valid Accuracy: 0.7371
 Best site-amazon                    | Epoch:3 | Val Acc: 0.8421
 Best site-amazon                    | Epoch:3 | Val Acc: 0.7917
 Best site-amazon                    | Epoch:3 | Val Acc: 0.7419
 Best site-amazon                    | Epoch:3 | Val Acc: 0.8049
 Best site-amazon                    | Epoch:3 | Val Acc: 0.7736
 Best site-amazon                    | Epoch:3 | Val Acc: 0.8676
 Best site-amazon                    | Epoch:3 | Val Acc: 0.7955
 Best site-amazon                    | Epoch:3 | Val Acc: 0.7281
 Best site-amazon                    | Epoch:3 | Val Acc: 0.7905
 Best site-amazon                    | Epoch:3 | Val Acc: 0.7592
 Best site-webcam                    | Epoch:3 | Val Acc: 0.6875
 Best site-webcam                    | Epoch:3 | Val Acc: 0.7083
 Best site-webcam                    | Epoch:3 | Val Acc: 0.7838
 Best site-webcam                    | Epoch:3 | Val Acc: 0.6182
 Best site-webcam                    | Epoch:3 | Val Acc: 0.7439
 Best site-dslr                      | Epoch:3 | Val Acc: 0.7273
 Best site-dslr                      | Epoch:3 | Val Acc: 0.7121
 Best site-synthetic                 | Epoch:3 | Val Acc: 0.3913
