===2023-08-05 13:36:43===
===Setting===
    dataset: officecaltechhome
    lr: 0.01
    batch: 64
    iters: 10
    wk_iters: 1
    si: False
    domain_num: 7
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[8,10,13,17,22,29,37,48,63,81,8,11,16,22,30,42,58,9,14,22,32,49,15,26,45,19,39,40,27,
client_nums=[10,7,5,3,2,1,1,]
len_dataset=[555,317,215,146,99,67,45,]
domain number = 7
============ Train epoch 0 ============
 Site-Art                           | Train Loss: 1.7023 | Train Acc: 0.7143
 Site-Art                           | Train Loss: 1.5552 | Train Acc: 0.7586
 Site-RealWorld                     | Train Loss: 1.1682 | Train Acc: 0.8889
 Site-RealWorld                     | Train Loss: 1.3825 | Train Acc: 0.8571
 Site-RealWorld                     | Train Loss: 1.3579 | Train Acc: 0.8182
 Site-RealWorld                     | Train Loss: 1.3214 | Train Acc: 0.8125
 Site-RealWorld                     | Train Loss: 1.3058 | Train Acc: 0.9388
 Site-webcam                        | Train Loss: 1.2362 | Train Acc: 0.9333
 Site-webcam                        | Train Loss: 1.0827 | Train Acc: 1.0000
 Site-webcam                        | Train Loss: 1.3877 | Train Acc: 0.9333
 Site-Clipart                       | Train Loss: 1.5326 | Train Acc: 0.6842
 Site-Clipart                       | Train Loss: 1.4726 | Train Acc: 0.7949
 Site-dslr                          | Train Loss: 1.3139 | Train Acc: 0.9250
 Site-Product                       | Train Loss: 1.2683 | Train Acc: 0.7778
Average Train Accuracy: 0.8204
 Site-amazon                        | Val  Loss: 1.1826 | Val  Acc: 1.0000
 Site-amazon                        | Val  Loss: 1.3126 | Val  Acc: 0.7143
 Site-amazon                        | Val  Loss: 1.1936 | Val  Acc: 0.8889
 Site-amazon                        | Val  Loss: 1.1738 | Val  Acc: 1.0000
 Site-amazon                        | Val  Loss: 1.1562 | Val  Acc: 0.8667
 Site-amazon                        | Val  Loss: 1.2937 | Val  Acc: 0.7368
 Site-amazon                        | Val  Loss: 1.3633 | Val  Acc: 0.8000
 Site-amazon                        | Val  Loss: 1.1661 | Val  Acc: 0.9062
 Site-amazon                        | Val  Loss: 1.1958 | Val  Acc: 0.8571
 Site-amazon                        | Val  Loss: 1.2734 | Val  Acc: 0.7963
 Site-Art                           | Val  Loss: 1.5194 | Val  Acc: 0.6000
 Site-Art                           | Val  Loss: 1.2195 | Val  Acc: 0.8571
 Site-Art                           | Val  Loss: 1.5971 | Val  Acc: 0.9000
 Site-Art                           | Val  Loss: 1.8086 | Val  Acc: 0.6429
 Site-Art                           | Val  Loss: 1.6924 | Val  Acc: 0.8500
 Site-Art                           | Val  Loss: 1.5788 | Val  Acc: 0.8214
 Site-Art                           | Val  Loss: 1.5285 | Val  Acc: 0.8684
 Site-RealWorld                     | Val  Loss: 1.2923 | Val  Acc: 1.0000
 Site-RealWorld                     | Val  Loss: 1.0507 | Val  Acc: 1.0000
 Site-RealWorld                     | Val  Loss: 1.4974 | Val  Acc: 0.8571
 Site-RealWorld                     | Val  Loss: 1.4616 | Val  Acc: 0.7619
 Site-RealWorld                     | Val  Loss: 1.2544 | Val  Acc: 0.9062
 Site-webcam                        | Val  Loss: 1.3417 | Val  Acc: 0.7000
 Site-webcam                        | Val  Loss: 1.3168 | Val  Acc: 0.8824
 Site-webcam                        | Val  Loss: 1.2469 | Val  Acc: 0.9667
