===2023-05-24 11:46:06===
===Setting===
    dataset: fairface
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    lambda for constrastive: 0.5
data_number=[198,259,340,446,360,222,291,382,457,264,346,448,352,462,268,352,474,330,]
client_nums=[5,4,3,2,2,1,1,]
domain number = -1
============ Train epoch 0 ============
 Site-White_Female             | Train Loss: 1.9216 | Train Acc: 0.3707
 Site-White_Male               | Train Loss: 2.0627 | Train Acc: 0.2206
 Site-White_Female             | Train Loss: 1.9900 | Train Acc: 0.3812
 Site-White_Male               | Train Loss: 2.0675 | Train Acc: 0.2361
 Site-Latino_Hispanic_Female   | Train Loss: 2.0231 | Train Acc: 0.2928
 Site-Latino_Hispanic_Male     | Train Loss: 2.0552 | Train Acc: 0.2302
 Site-Latino_Hispanic_Female   | Train Loss: 2.0336 | Train Acc: 0.2801
 Site-Latino_Hispanic_Male     | Train Loss: 2.0372 | Train Acc: 0.2604
 Site-Black_Female             | Train Loss: 2.0245 | Train Acc: 0.2955
 Site-Black_Male               | Train Loss: 2.0809 | Train Acc: 0.2543
 Site-Black_Female             | Train Loss: 2.0406 | Train Acc: 0.2746
 Site-East_Asian_Male          | Train Loss: 2.0117 | Train Acc: 0.3210
 Site-East_Asian_Female        | Train Loss: 1.9645 | Train Acc: 0.4610
 Site-Indian_Male              | Train Loss: 2.0812 | Train Acc: 0.1978
 Site-Indian_Female            | Train Loss: 2.0667 | Train Acc: 0.2812
 Site-Southeast_Asian_Male     | Train Loss: 2.0692 | Train Acc: 0.2785
 Site-Middle_Eastern_Female    | Train Loss: 1.9853 | Train Acc: 0.3364
 Site-White_Male                    | Val  Loss: 2.0020 | Val  Acc: 0.2803
 Site-White_Female                  | Val  Loss: 1.9848 | Val  Acc: 0.3642
 Site-White_Male                    | Val  Loss: 2.0756 | Val  Acc: 0.2335
 Site-White_Female                  | Val  Loss: 2.0006 | Val  Acc: 0.3434
 Site-White_Male                    | Val  Loss: 2.0592 | Val  Acc: 0.2917
 Site-Latino_Hispanic_Female        | Val  Loss: 2.0120 | Val  Acc: 0.2770
 Site-Latino_Hispanic_Male          | Val  Loss: 2.0654 | Val  Acc: 0.2526
 Site-Latino_Hispanic_Female        | Val  Loss: 2.0294 | Val  Acc: 0.2756
 Site-Latino_Hispanic_Male          | Val  Loss: 2.0677 | Val  Acc: 0.2204
 Site-Black_Female                  | Val  Loss: 2.0594 | Val  Acc: 0.2784
 Site-Black_Male                    | Val  Loss: 2.0638 | Val  Acc: 0.2468
 Site-Black_Female                  | Val  Loss: 2.0514 | Val  Acc: 0.2886
 Site-East_Asian_Male               | Val  Loss: 2.0276 | Val  Acc: 0.3120
 Site-East_Asian_Female             | Val  Loss: 1.9468 | Val  Acc: 0.4481
 Site-Indian_Male                   | Val  Loss: 2.0816 | Val  Acc: 0.2291
 Site-Indian_Female                 | Val  Loss: 2.0624 | Val  Acc: 0.2906
 Site-Southeast_Asian_Male          | Val  Loss: 2.0733 | Val  Acc: 0.2690
 Site-Middle_Eastern_Female         | Val  Loss: 2.0045 | Val  Acc: 0.3591
Average Valid Accuracy: 0.2922
 Best site-White_Male                | Epoch:4 | Val Acc: 0.2803
 Best site-White_Female              | Epoch:4 | Val Acc: 0.3642
 Best site-White_Male                | Epoch:4 | Val Acc: 0.2335
 Best site-White_Female              | Epoch:4 | Val Acc: 0.3434
 Best site-White_Male                | Epoch:4 | Val Acc: 0.2917
 Best site-Latino_Hispanic_Female    | Epoch:4 | Val Acc: 0.2770
 Best site-Latino_Hispanic_Male      | Epoch:4 | Val Acc: 0.2526
 Best site-Latino_Hispanic_Female    | Epoch:4 | Val Acc: 0.2756
 Best site-Latino_Hispanic_Male      | Epoch:4 | Val Acc: 0.2204
 Best site-Black_Female              | Epoch:4 | Val Acc: 0.2784
 Best site-Black_Male                | Epoch:4 | Val Acc: 0.2468
 Best site-Black_Female              | Epoch:4 | Val Acc: 0.2886
 Best site-East_Asian_Male           | Epoch:4 | Val Acc: 0.3120
 Best site-East_Asian_Female         | Epoch:4 | Val Acc: 0.4481
 Best site-Indian_Male               | Epoch:4 | Val Acc: 0.2291
 Best site-Indian_Female             | Epoch:4 | Val Acc: 0.2906
 Best site-Southeast_Asian_Male      | Epoch:4 | Val Acc: 0.2690
 Best site-Middle_Eastern_Female     | Epoch:4 | Val Acc: 0.3591
 Saving the local and server checkpoint to ../checkpoint/fed_fairface_uneven_1.31_1_gender_cluster_-1/fedavg...
============ Train epoch 5 ============
 Site-White_Male               | Train Loss: 2.0529 | Train Acc: 0.2778
 Site-White_Female             | Train Loss: 1.9349 | Train Acc: 0.3707
 Site-White_Male               | Train Loss: 2.0478 | Train Acc: 0.2265
 Site-White_Female             | Train Loss: 1.9638 | Train Acc: 0.3700
 Site-White_Male               | Train Loss: 2.0478 | Train Acc: 0.2361
 Site-Latino_Hispanic_Female   | Train Loss: 2.0068 | Train Acc: 0.2838
 Site-Latino_Hispanic_Male     | Train Loss: 2.0418 | Train Acc: 0.2371
 Site-Latino_Hispanic_Female   | Train Loss: 2.0148 | Train Acc: 0.2775
 Site-Latino_Hispanic_Male     | Train Loss: 2.0357 | Train Acc: 0.2560
 Site-Black_Female             | Train Loss: 2.0004 | Train Acc: 0.2992
 Site-Black_Male               | Train Loss: 2.0542 | Train Acc: 0.2457
 Site-Black_Female             | Train Loss: 2.0228 | Train Acc: 0.2857
 Site-East_Asian_Male          | Train Loss: 1.9910 | Train Acc: 0.3210
 Site-East_Asian_Female        | Train Loss: 1.8959 | Train Acc: 0.4762
 Site-Indian_Male              | Train Loss: 2.0786 | Train Acc: 0.2090
 Site-Indian_Female            | Train Loss: 2.0503 | Train Acc: 0.2841
 Site-Southeast_Asian_Male     | Train Loss: 2.0499 | Train Acc: 0.2785
 Site-Middle_Eastern_Female    | Train Loss: 1.9722 | Train Acc: 0.3333
 Site-White_Male                    | Val  Loss: 1.9640 | Val  Acc: 0.3030
 Site-White_Female                  | Val  Loss: 1.9577 | Val  Acc: 0.3699
 Site-White_Male                    | Val  Loss: 2.0478 | Val  Acc: 0.2379
