===2023-05-24 04:44:01===
===Setting===
    dataset: fairface
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    lambda for constrastive: 0.5
data_number=[198,259,340,446,360,222,291,382,457,264,346,448,352,462,268,352,474,330,]
client_nums=[5,4,3,2,2,1,1,]
domain number = -1
============ Train epoch 0 ============
 Site-Latino_Hispanic_Male          | Val  Loss: 1.8666 | Val  Acc: 0.2204
 Site-Black_Female                  | Val  Loss: 1.7988 | Val  Acc: 0.3011
 Site-Black_Male                    | Val  Loss: 1.8385 | Val  Acc: 0.2381
 Site-Black_Female                  | Val  Loss: 1.8344 | Val  Acc: 0.3188
 Site-East_Asian_Male               | Val  Loss: 1.7635 | Val  Acc: 0.3205
 Site-East_Asian_Female             | Val  Loss: 1.6067 | Val  Acc: 0.4773
 Site-Indian_Male                   | Val  Loss: 1.8518 | Val  Acc: 0.2626
 Site-Indian_Female                 | Val  Loss: 1.9250 | Val  Acc: 0.3034
 Site-Southeast_Asian_Male          | Val  Loss: 1.8790 | Val  Acc: 0.3070
 Site-Middle_Eastern_Female         | Val  Loss: 1.7770 | Val  Acc: 0.3727
Average Valid Accuracy: 0.3070
 Best site-White_Male                | Epoch:4 | Val Acc: 0.2652
 Best site-White_Female              | Epoch:4 | Val Acc: 0.4046
 Best site-White_Male                | Epoch:4 | Val Acc: 0.2687
 Best site-White_Female              | Epoch:4 | Val Acc: 0.3737
 Best site-White_Male                | Epoch:4 | Val Acc: 0.2833
 Best site-Latino_Hispanic_Female    | Epoch:4 | Val Acc: 0.2838
 Best site-Latino_Hispanic_Male      | Epoch:4 | Val Acc: 0.2371
 Best site-Latino_Hispanic_Female    | Epoch:4 | Val Acc: 0.2874
 Best site-Latino_Hispanic_Male      | Epoch:4 | Val Acc: 0.2204
 Best site-Black_Female              | Epoch:4 | Val Acc: 0.3011
 Best site-Black_Male                | Epoch:4 | Val Acc: 0.2381
 Best site-Black_Female              | Epoch:4 | Val Acc: 0.3188
 Best site-East_Asian_Male           | Epoch:4 | Val Acc: 0.3205
 Best site-East_Asian_Female         | Epoch:4 | Val Acc: 0.4773
 Best site-Indian_Male               | Epoch:4 | Val Acc: 0.2626
 Best site-Indian_Female             | Epoch:4 | Val Acc: 0.3034
 Best site-Southeast_Asian_Male      | Epoch:4 | Val Acc: 0.3070
 Best site-Middle_Eastern_Female     | Epoch:4 | Val Acc: 0.3727
 Saving the local and server checkpoint to ../checkpoint/fed_fairface_uneven_1.31_1_gender_cluster_-1/CoCoOP...
============ Train epoch 5 ============
 Site-White_Male               | Train Loss: 1.8290 | Train Acc: 0.2828
 Site-White_Female             | Train Loss: 1.6133 | Train Acc: 0.3977
 Site-White_Male               | Train Loss: 1.8436 | Train Acc: 0.2765
 Site-White_Female             | Train Loss: 1.7179 | Train Acc: 0.3767
 Site-White_Male               | Train Loss: 1.7904 | Train Acc: 0.2889
 Site-Latino_Hispanic_Female   | Train Loss: 1.7807 | Train Acc: 0.2928
 Site-Latino_Hispanic_Male     | Train Loss: 1.8248 | Train Acc: 0.2577
 Site-Latino_Hispanic_Female   | Train Loss: 1.8338 | Train Acc: 0.2906
 Site-Latino_Hispanic_Male     | Train Loss: 1.7648 | Train Acc: 0.2516
 Site-Black_Female             | Train Loss: 1.6840 | Train Acc: 0.3220
 Site-Black_Male               | Train Loss: 1.8425 | Train Acc: 0.2659
 Site-Black_Female             | Train Loss: 1.7677 | Train Acc: 0.3147
 Site-East_Asian_Male          | Train Loss: 1.7228 | Train Acc: 0.3665
 Site-East_Asian_Female        | Train Loss: 1.5713 | Train Acc: 0.4978
 Site-Indian_Male              | Train Loss: 1.8369 | Train Acc: 0.2463
 Site-Indian_Female            | Train Loss: 1.8741 | Train Acc: 0.3011
 Site-Southeast_Asian_Male     | Train Loss: 1.8365 | Train Acc: 0.3228
 Site-Middle_Eastern_Female    | Train Loss: 1.6711 | Train Acc: 0.3879
 Site-White_Male                    | Val  Loss: 1.6784 | Val  Acc: 0.2727
 Site-White_Female                  | Val  Loss: 1.6746 | Val  Acc: 0.4046
 Site-White_Male                    | Val  Loss: 1.8427 | Val  Acc: 0.2996
 Site-White_Female                  | Val  Loss: 1.6842 | Val  Acc: 0.4007
 Site-White_Male                    | Val  Loss: 1.8378 | Val  Acc: 0.2583
 Site-Latino_Hispanic_Female        | Val  Loss: 1.8005 | Val  Acc: 0.2973
 Site-Latino_Hispanic_Male          | Val  Loss: 1.7890 | Val  Acc: 0.2835
 Site-Latino_Hispanic_Female        | Val  Loss: 1.7829 | Val  Acc: 0.2874
 Site-Latino_Hispanic_Male          | Val  Loss: 1.8710 | Val  Acc: 0.2401
 Site-Black_Female                  | Val  Loss: 1.7978 | Val  Acc: 0.3068
 Site-Black_Male                    | Val  Loss: 1.8047 | Val  Acc: 0.2771
 Site-Black_Female                  | Val  Loss: 1.7924 | Val  Acc: 0.3389
 Site-East_Asian_Male               | Val  Loss: 1.7283 | Val  Acc: 0.3632
 Site-East_Asian_Female             | Val  Loss: 1.5813 | Val  Acc: 0.4805
 Site-Indian_Male                   | Val  Loss: 1.8350 | Val  Acc: 0.2346
 Site-Indian_Female                 | Val  Loss: 1.9112 | Val  Acc: 0.3034
 Site-Southeast_Asian_Male          | Val  Loss: 1.8392 | Val  Acc: 0.3291
 Site-Middle_Eastern_Female         | Val  Loss: 1.7446 | Val  Acc: 0.3727
Average Valid Accuracy: 0.3195
 Best site-White_Male                | Epoch:5 | Val Acc: 0.2727
 Best site-White_Female              | Epoch:5 | Val Acc: 0.4046
 Best site-White_Male                | Epoch:5 | Val Acc: 0.2996
 Best site-White_Female              | Epoch:5 | Val Acc: 0.4007
 Best site-White_Male                | Epoch:5 | Val Acc: 0.2583
 Best site-Latino_Hispanic_Female    | Epoch:5 | Val Acc: 0.2973
 Best site-Latino_Hispanic_Male      | Epoch:5 | Val Acc: 0.2835
 Best site-Latino_Hispanic_Female    | Epoch:5 | Val Acc: 0.2874
 Best site-Latino_Hispanic_Male      | Epoch:5 | Val Acc: 0.2401
 Best site-Black_Female              | Epoch:5 | Val Acc: 0.3068
 Best site-Black_Male                | Epoch:5 | Val Acc: 0.2771
 Best site-Black_Female              | Epoch:5 | Val Acc: 0.3389
 Best site-East_Asian_Male           | Epoch:5 | Val Acc: 0.3632
 Best site-East_Asian_Female         | Epoch:5 | Val Acc: 0.4805
 Best site-Indian_Male               | Epoch:5 | Val Acc: 0.2346
 Best site-Indian_Female             | Epoch:5 | Val Acc: 0.3034
 Best site-Southeast_Asian_Male      | Epoch:5 | Val Acc: 0.3291
 Best site-Middle_Eastern_Female     | Epoch:5 | Val Acc: 0.3727
 Saving the local and server checkpoint to ../checkpoint/fed_fairface_uneven_1.31_1_gender_cluster_-1/CoCoOP...
============ Train epoch 6 ============
 Site-White_Male               | Train Loss: 1.8039 | Train Acc: 0.2929
 Site-White_Female             | Train Loss: 1.6091 | Train Acc: 0.4093
 Site-White_Male               | Train Loss: 1.7650 | Train Acc: 0.3118
 Site-White_Female             | Train Loss: 1.6881 | Train Acc: 0.3901
 Site-White_Male               | Train Loss: 1.7534 | Train Acc: 0.3222
 Site-Latino_Hispanic_Female   | Train Loss: 1.7623 | Train Acc: 0.3063
 Site-Latino_Hispanic_Male     | Train Loss: 1.7884 | Train Acc: 0.2749
 Site-Latino_Hispanic_Female   | Train Loss: 1.7662 | Train Acc: 0.3168
 Site-Latino_Hispanic_Male     | Train Loss: 1.7570 | Train Acc: 0.2932
 Site-Black_Female             | Train Loss: 1.7716 | Train Acc: 0.3220
 Site-Black_Male               | Train Loss: 1.8023 | Train Acc: 0.2717
 Site-Black_Female             | Train Loss: 1.7419 | Train Acc: 0.3415
 Site-East_Asian_Male          | Train Loss: 1.6636 | Train Acc: 0.3835
 Site-East_Asian_Female        | Train Loss: 1.5409 | Train Acc: 0.5130
 Site-Indian_Male              | Train Loss: 1.8230 | Train Acc: 0.2687
 Site-Indian_Female            | Train Loss: 1.8593 | Train Acc: 0.3210
 Site-Southeast_Asian_Male     | Train Loss: 1.7965 | Train Acc: 0.3354
 Site-Middle_Eastern_Female    | Train Loss: 1.6975 | Train Acc: 0.3788
 Site-White_Male                    | Val  Loss: 1.6084 | Val  Acc: 0.3106
 Site-White_Female                  | Val  Loss: 1.6501 | Val  Acc: 0.3988
 Site-White_Male                    | Val  Loss: 1.8139 | Val  Acc: 0.2819
 Site-White_Female                  | Val  Loss: 1.6731 | Val  Acc: 0.3805
 Site-White_Male                    | Val  Loss: 1.7952 | Val  Acc: 0.2833
 Site-Latino_Hispanic_Female        | Val  Loss: 1.7354 | Val  Acc: 0.3176
 Site-Latino_Hispanic_Male          | Val  Loss: 1.7528 | Val  Acc: 0.2577
 Site-Latino_Hispanic_Female        | Val  Loss: 1.7400 | Val  Acc: 0.2953
 Site-Latino_Hispanic_Male          | Val  Loss: 1.8198 | Val  Acc: 0.2500
 Site-Black_Female                  | Val  Loss: 1.7836 | Val  Acc: 0.3068
 Site-Black_Male                    | Val  Loss: 1.8074 | Val  Acc: 0.2165
