===2023-08-17 02:56:10===
===Setting===
    dataset: pacs
    lr: 0.01
    batch: 32
    iters: 50
    wk_iters: 1
    domain_num: 4
===2023-08-17 02:56:12===
===Setting===
    dataset: pacs
    lr: 0.01
    batch: 32
    iters: 50
    wk_iters: 1
    domain_num: 4
===2023-08-17 04:17:47===
===Setting===
    dataset: pacs
    lr: 0.01
    batch: 32
    iters: 50
    wk_iters: 1
    domain_num: 4
data_number=[18,23,30,38,50,64,83,107,139,180,15,28,49,88,157,14,142,72,
client_nums=[10,5,2,1,]
len_dataset=[1227,568,262,121,]
domain number = 4
============ Train epoch 0 ============
 Site-art_painting                  | Train Loss: 1.5312 | Train Acc: 0.7122
 Site-art_painting                  | Train Loss: 1.5341 | Train Acc: 0.7556
 Site-photo                         | Train Loss: 1.3692 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 1.4373 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 1.4071 | Train Acc: 0.9388
 Site-photo                         | Train Loss: 1.4416 | Train Acc: 0.9432
 Site-photo                         | Train Loss: 1.3785 | Train Acc: 1.0000
 Site-sketch                        | Train Loss: 1.8081 | Train Acc: 0.1429
 Site-sketch                        | Train Loss: 1.8012 | Train Acc: 0.3873
 Site-cartoon                       | Train Loss: 1.7347 | Train Acc: 0.4722
Average Train Accuracy: 0.7208
 Best site-art_painting              | Epoch:5 | Val Acc: 0.8333
 Best site-art_painting              | Epoch:5 | Val Acc: 0.6087
 Best site-art_painting              | Epoch:5 | Val Acc: 0.5667
 Best site-art_painting              | Epoch:5 | Val Acc: 0.7895
 Best site-art_painting              | Epoch:5 | Val Acc: 0.5200
 Best site-art_painting              | Epoch:5 | Val Acc: 0.8125
 Best site-art_painting              | Epoch:5 | Val Acc: 0.7349
 Best site-art_painting              | Epoch:5 | Val Acc: 0.7570
 Best site-art_painting              | Epoch:5 | Val Acc: 0.7122
 Best site-art_painting              | Epoch:5 | Val Acc: 0.7556
 Best site-photo                     | Epoch:5 | Val Acc: 1.0000
 Best site-photo                     | Epoch:5 | Val Acc: 1.0000
 Best site-photo                     | Epoch:5 | Val Acc: 0.9388
 Best site-photo                     | Epoch:5 | Val Acc: 0.9432
 Best site-photo                     | Epoch:5 | Val Acc: 1.0000
 Best site-sketch                    | Epoch:5 | Val Acc: 0.1429
 Best site-sketch                    | Epoch:5 | Val Acc: 0.3873
 Best site-cartoon                   | Epoch:5 | Val Acc: 0.4722
 Saving the local and server checkpoint to ../checkpoint/fed_pacs_uneven_2.16_1_shuffle/term...
============ Train epoch 6 ============
 Site-art_painting                  | Train Loss: 1.4841 | Train Acc: 0.7778
 Site-art_painting                  | Train Loss: 1.5645 | Train Acc: 0.6087
 Site-art_painting                  | Train Loss: 1.5389 | Train Acc: 0.6667
 Site-art_painting                  | Train Loss: 1.5409 | Train Acc: 0.8158
 Site-art_painting                  | Train Loss: 1.6153 | Train Acc: 0.5800
 Site-art_painting                  | Train Loss: 1.4189 | Train Acc: 0.7656
 Site-art_painting                  | Train Loss: 1.4982 | Train Acc: 0.7349
 Site-art_painting                  | Train Loss: 1.5158 | Train Acc: 0.7850
 Site-art_painting                  | Train Loss: 1.4886 | Train Acc: 0.7554
 Site-art_painting                  | Train Loss: 1.4877 | Train Acc: 0.7722
 Site-photo                         | Train Loss: 1.2939 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 1.3653 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 1.3193 | Train Acc: 0.9796
 Site-photo                         | Train Loss: 1.3603 | Train Acc: 0.9659
 Site-photo                         | Train Loss: 1.3061 | Train Acc: 0.9936
 Site-sketch                        | Train Loss: 1.7906 | Train Acc: 0.2857
 Site-sketch                        | Train Loss: 1.7904 | Train Acc: 0.3732
 Site-cartoon                       | Train Loss: 1.7003 | Train Acc: 0.5000
Average Train Accuracy: 0.7422
 Best site-art_painting              | Epoch:6 | Val Acc: 0.7778
 Best site-art_painting              | Epoch:6 | Val Acc: 0.6087
 Best site-art_painting              | Epoch:6 | Val Acc: 0.6667
 Best site-art_painting              | Epoch:6 | Val Acc: 0.8158
 Best site-art_painting              | Epoch:6 | Val Acc: 0.5800
 Best site-art_painting              | Epoch:6 | Val Acc: 0.7656
 Best site-art_painting              | Epoch:6 | Val Acc: 0.7349
 Best site-art_painting              | Epoch:6 | Val Acc: 0.7850
 Best site-art_painting              | Epoch:6 | Val Acc: 0.7554
 Best site-art_painting              | Epoch:6 | Val Acc: 0.7722
