===2023-08-17 02:56:18===
===Setting===
    dataset: pacs
    lr: 0.01
    batch: 32
    iters: 50
    wk_iters: 1
    domain_num: 4
===2023-08-17 02:56:20===
===Setting===
    dataset: pacs
    lr: 0.01
    batch: 32
    iters: 50
    wk_iters: 1
    domain_num: 4
===2023-08-17 05:52:08===
===Setting===
    dataset: pacs
    lr: 0.01
    batch: 32
    iters: 50
    wk_iters: 1
    domain_num: 4
data_number=[18,23,30,38,50,64,83,107,139,180,15,28,49,88,157,14,142,72,
client_nums=[10,5,2,1,]
len_dataset=[1227,568,262,121,]
domain number = 4
============ Train epoch 0 ============
 Site-art_painting                  | Train Loss: 0.3431 | Train Acc: 0.9531
 Site-art_painting                  | Train Loss: 0.3870 | Train Acc: 0.9518
 Site-art_painting                  | Train Loss: 0.3950 | Train Acc: 0.9159
 Site-art_painting                  | Train Loss: 0.3982 | Train Acc: 0.8993
 Site-art_painting                  | Train Loss: 0.3618 | Train Acc: 0.9000
 Site-photo                         | Train Loss: 0.0303 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.1028 | Train Acc: 0.9643
 Site-photo                         | Train Loss: 0.0960 | Train Acc: 0.9796
 Site-photo                         | Train Loss: 0.1289 | Train Acc: 0.9773
 Site-photo                         | Train Loss: 0.0615 | Train Acc: 0.9936
 Site-sketch                        | Train Loss: 1.0686 | Train Acc: 0.7143
 Site-sketch                        | Train Loss: 1.2033 | Train Acc: 0.5423
 Site-cartoon                       | Train Loss: 0.9553 | Train Acc: 0.6667
Average Train Accuracy: 0.8928
 Best site-art_painting              | Epoch:6 | Val Acc: 0.9444
 Best site-art_painting              | Epoch:6 | Val Acc: 1.0000
 Best site-art_painting              | Epoch:6 | Val Acc: 0.9333
 Best site-art_painting              | Epoch:6 | Val Acc: 0.8947
 Best site-art_painting              | Epoch:6 | Val Acc: 0.8400
 Best site-art_painting              | Epoch:6 | Val Acc: 0.9531
 Best site-art_painting              | Epoch:6 | Val Acc: 0.9518
 Best site-art_painting              | Epoch:6 | Val Acc: 0.9159
 Best site-art_painting              | Epoch:6 | Val Acc: 0.8993
 Best site-art_painting              | Epoch:6 | Val Acc: 0.9000
 Best site-photo                     | Epoch:6 | Val Acc: 1.0000
 Best site-photo                     | Epoch:6 | Val Acc: 0.9643
 Best site-photo                     | Epoch:6 | Val Acc: 0.9796
 Best site-photo                     | Epoch:6 | Val Acc: 0.9773
 Best site-photo                     | Epoch:6 | Val Acc: 0.9936
 Best site-sketch                    | Epoch:6 | Val Acc: 0.7143
 Best site-sketch                    | Epoch:6 | Val Acc: 0.5423
 Best site-cartoon                   | Epoch:6 | Val Acc: 0.6667
 Saving the local and server checkpoint to ../checkpoint/fed_pacs_uneven_2.16_1_shuffle/fedsam...
============ Train epoch 7 ============
 Site-art_painting                  | Train Loss: 0.3760 | Train Acc: 0.9444
 Site-art_painting                  | Train Loss: 0.6767 | Train Acc: 0.6957
 Site-art_painting                  | Train Loss: 0.5455 | Train Acc: 0.8667
 Site-art_painting                  | Train Loss: 0.1567 | Train Acc: 0.9474
