===2023-06-29 10:13:08===
===Setting===
    dataset: domainnet
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 6
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[8,12,20,32,52,84,134,215,345,552,21,33,54,86,138,222,355,61,98,157,252,68,110,176,85,136,138,
client_nums=[10,7,4,3,2,1,]
len_dataset=[4864,3040,1900,1187,741,463,]
domain number = 6
============ Train epoch 0 ============
 Site-Real                          | Val  Loss: 0.3156 | Val  Acc: 0.9714
 Site-Real                          | Val  Loss: 0.2387 | Val  Acc: 1.0000
 Site-Real                          | Val  Loss: 0.2446 | Val  Acc: 0.9551
 Site-Real                          | Val  Loss: 0.3119 | Val  Acc: 0.9510
 Site-Real                          | Val  Loss: 0.2615 | Val  Acc: 0.9651
 Site-Real                          | Val  Loss: 0.2271 | Val  Acc: 0.9700
 Site-Clipart                       | Val  Loss: 0.7237 | Val  Acc: 0.7857
 Site-Clipart                       | Val  Loss: 0.6651 | Val  Acc: 0.7727
 Site-Clipart                       | Val  Loss: 0.6295 | Val  Acc: 0.8889
 Site-Clipart                       | Val  Loss: 0.7620 | Val  Acc: 0.7895
 Site-Clipart                       | Val  Loss: 0.7553 | Val  Acc: 0.7717
 Site-Clipart                       | Val  Loss: 0.5594 | Val  Acc: 0.8446
 Site-Clipart                       | Val  Loss: 0.7322 | Val  Acc: 0.8093
 Site-Painting                      | Val  Loss: 0.8198 | Val  Acc: 0.7317
 Site-Painting                      | Val  Loss: 0.8522 | Val  Acc: 0.8000
 Site-Painting                      | Val  Loss: 0.4761 | Val  Acc: 0.8952
 Site-Painting                      | Val  Loss: 0.4956 | Val  Acc: 0.8750
 Site-Sketch                        | Val  Loss: 0.8474 | Val  Acc: 0.7111
 Site-Sketch                        | Val  Loss: 0.8792 | Val  Acc: 0.6849
 Site-Sketch                        | Val  Loss: 0.9168 | Val  Acc: 0.7009
 Site-Infograph                     | Val  Loss: 1.5373 | Val  Acc: 0.5714
 Site-Infograph                     | Val  Loss: 1.6101 | Val  Acc: 0.4945
 Site-QuickDraw                     | Val  Loss: 2.1917 | Val  Acc: 0.2609
Average Valid Accuracy: 0.8205
 Best site-Real                      | Epoch:3 | Val Acc: 1.0000
 Best site-Real                      | Epoch:3 | Val Acc: 1.0000
 Best site-Real                      | Epoch:3 | Val Acc: 1.0000
 Best site-Real                      | Epoch:3 | Val Acc: 0.9524
 Best site-Real                      | Epoch:3 | Val Acc: 0.9714
 Best site-Real                      | Epoch:3 | Val Acc: 1.0000
 Best site-Real                      | Epoch:3 | Val Acc: 0.9551
 Best site-Real                      | Epoch:3 | Val Acc: 0.9510
 Best site-Real                      | Epoch:3 | Val Acc: 0.9651
 Best site-Real                      | Epoch:3 | Val Acc: 0.9700
 Best site-Clipart                   | Epoch:3 | Val Acc: 0.7857
 Best site-Clipart                   | Epoch:3 | Val Acc: 0.7727
 Best site-Clipart                   | Epoch:3 | Val Acc: 0.8889
 Best site-Clipart                   | Epoch:3 | Val Acc: 0.7895
 Best site-Clipart                   | Epoch:3 | Val Acc: 0.7717
 Best site-Clipart                   | Epoch:3 | Val Acc: 0.8446
 Best site-Clipart                   | Epoch:3 | Val Acc: 0.8093
 Best site-Painting                  | Epoch:3 | Val Acc: 0.7317
 Best site-Painting                  | Epoch:3 | Val Acc: 0.8000
 Best site-Painting                  | Epoch:3 | Val Acc: 0.8952
 Best site-Painting                  | Epoch:3 | Val Acc: 0.8750
 Best site-Sketch                    | Epoch:3 | Val Acc: 0.7111
 Best site-Sketch                    | Epoch:3 | Val Acc: 0.6849
 Best site-Sketch                    | Epoch:3 | Val Acc: 0.7009
 Best site-Infograph                 | Epoch:3 | Val Acc: 0.5714
 Best site-Infograph                 | Epoch:3 | Val Acc: 0.4945
 Best site-QuickDraw                 | Epoch:3 | Val Acc: 0.2609
 Saving the local and server checkpoint to ../checkpoint/fed_domainnet_uneven_1.6_1_shuffle/harmo-fl...
============ Train epoch 4 ============
 Site-Real                          | Train Loss: 0.6021 | Train Acc: 0.8750
 Site-Real                          | Train Loss: 0.3000 | Train Acc: 0.9167
 Site-Real                          | Train Loss: 0.1530 | Train Acc: 1.0000
 Site-Real                          | Train Loss: 0.2478 | Train Acc: 0.9688
 Site-Real                          | Train Loss: 0.3114 | Train Acc: 0.9615
 Site-Real                          | Train Loss: 0.1306 | Train Acc: 0.9762
 Site-Real                          | Train Loss: 0.1997 | Train Acc: 0.9627
 Site-Real                          | Train Loss: 0.1710 | Train Acc: 0.9721
 Site-Real                          | Train Loss: 0.2214 | Train Acc: 0.9623
 Site-Real                          | Train Loss: 0.1846 | Train Acc: 0.9819
 Site-Clipart                       | Train Loss: 0.8103 | Train Acc: 0.7143
 Site-Clipart                       | Train Loss: 0.6285 | Train Acc: 0.8485
 Site-Clipart                       | Train Loss: 0.6582 | Train Acc: 0.7407
 Site-Clipart                       | Train Loss: 0.7019 | Train Acc: 0.8140
 Site-Clipart                       | Train Loss: 0.5120 | Train Acc: 0.8551
 Site-Clipart                       | Train Loss: 0.6537 | Train Acc: 0.8108
 Site-Clipart                       | Train Loss: 0.5918 | Train Acc: 0.8563
 Site-Painting                      | Train Loss: 0.6451 | Train Acc: 0.7869
 Site-Painting                      | Train Loss: 0.4680 | Train Acc: 0.8673
 Site-Painting                      | Train Loss: 0.5382 | Train Acc: 0.8471
 Site-Painting                      | Train Loss: 0.5335 | Train Acc: 0.8373
 Site-Sketch                        | Train Loss: 1.0339 | Train Acc: 0.7941
 Site-Sketch                        | Train Loss: 0.7440 | Train Acc: 0.7364
 Site-Sketch                        | Train Loss: 0.7363 | Train Acc: 0.7670
 Site-Infograph                     | Train Loss: 1.8634 | Train Acc: 0.3765
 Site-Infograph                     | Train Loss: 1.5372 | Train Acc: 0.4265
 Site-QuickDraw                     | Train Loss: 1.9426 | Train Acc: 0.2754
Average Train Accuracy: 0.8123
 Site-Real                          | Val  Loss: 0.0308 | Val  Acc: 1.0000
 Site-Real                          | Val  Loss: 0.0355 | Val  Acc: 1.0000
 Site-Real                          | Val  Loss: 0.1088 | Val  Acc: 1.0000
 Site-Real                          | Val  Loss: 0.1754 | Val  Acc: 1.0000
 Site-Real                          | Val  Loss: 0.2555 | Val  Acc: 1.0000
 Site-Real                          | Val  Loss: 0.1749 | Val  Acc: 1.0000
 Site-Real                          | Val  Loss: 0.1711 | Val  Acc: 0.9775
 Site-Real                          | Val  Loss: 0.2669 | Val  Acc: 0.9650
 Site-Real                          | Val  Loss: 0.2209 | Val  Acc: 0.9651
