===2023-06-29 14:14:31===
===Setting===
    dataset: digit
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 5
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[6,12,21,38,70,126,227,409,736,1325,40,72,129,233,420,756,151,273,491,181,327,282,
client_nums=[10,6,3,2,1,]
len_dataset=[3719,2066,1147,637,353,]
domain number = 5
============ Train epoch 0 ============
 Site-USPS                          | Val  Loss: 2.1963 | Val  Acc: 0.2353
 Site-USPS                          | Val  Loss: 2.1541 | Val  Acc: 0.3226
 Site-USPS                          | Val  Loss: 2.1290 | Val  Acc: 0.3750
 Site-USPS                          | Val  Loss: 2.1062 | Val  Acc: 0.4510
 Site-USPS                          | Val  Loss: 2.1384 | Val  Acc: 0.4098
 Site-USPS                          | Val  Loss: 2.1364 | Val  Acc: 0.4079
 Site-MNIST                         | Val  Loss: 2.2018 | Val  Acc: 0.2000
 Site-MNIST                         | Val  Loss: 2.1926 | Val  Acc: 0.2222
 Site-MNIST                         | Val  Loss: 2.1832 | Val  Acc: 0.2812
 Site-MNIST                         | Val  Loss: 2.1952 | Val  Acc: 0.2931
 Site-MNIST                         | Val  Loss: 2.1902 | Val  Acc: 0.3524
 Site-MNIST                         | Val  Loss: 2.1913 | Val  Acc: 0.3280
 Site-SynthDigits                   | Val  Loss: 2.2958 | Val  Acc: 0.1892
 Site-SynthDigits                   | Val  Loss: 2.3215 | Val  Acc: 0.2206
 Site-SynthDigits                   | Val  Loss: 2.2788 | Val  Acc: 0.1475
 Site-SVHN                          | Val  Loss: 2.2972 | Val  Acc: 0.0889
 Site-SVHN                          | Val  Loss: 2.2901 | Val  Acc: 0.0864
 Site-MNIST_M                       | Val  Loss: 2.2995 | Val  Acc: 0.1857
Average Valid Accuracy: 0.2281
 Best site-USPS                      | Epoch:3 | Val Acc: 0.0000
 Best site-USPS                      | Epoch:3 | Val Acc: 0.0000
 Best site-USPS                      | Epoch:3 | Val Acc: 0.0000
 Best site-USPS                      | Epoch:3 | Val Acc: 0.2222
 Best site-USPS                      | Epoch:3 | Val Acc: 0.2353
 Best site-USPS                      | Epoch:3 | Val Acc: 0.3226
 Best site-USPS                      | Epoch:3 | Val Acc: 0.3750
 Best site-USPS                      | Epoch:3 | Val Acc: 0.4510
 Best site-USPS                      | Epoch:3 | Val Acc: 0.4098
 Best site-USPS                      | Epoch:3 | Val Acc: 0.4079
 Best site-MNIST                     | Epoch:3 | Val Acc: 0.2000
 Best site-MNIST                     | Epoch:3 | Val Acc: 0.2222
 Best site-MNIST                     | Epoch:3 | Val Acc: 0.2812
 Best site-MNIST                     | Epoch:3 | Val Acc: 0.2931
 Best site-MNIST                     | Epoch:3 | Val Acc: 0.3524
 Best site-MNIST                     | Epoch:3 | Val Acc: 0.3280
 Best site-SynthDigits               | Epoch:3 | Val Acc: 0.1892
 Best site-SynthDigits               | Epoch:3 | Val Acc: 0.2206
 Best site-SynthDigits               | Epoch:3 | Val Acc: 0.1475
 Best site-SVHN                      | Epoch:3 | Val Acc: 0.0889
 Best site-SVHN                      | Epoch:3 | Val Acc: 0.0864
 Best site-MNIST_M                   | Epoch:3 | Val Acc: 0.1857
 Saving the local and server checkpoint to ../checkpoint/fed_digit_uneven_1.8_1_shuffle/gifair...
============ Train epoch 4 ============
 Site-USPS                          | Train Loss: 2.0196 | Train Acc: 0.5000
 Site-USPS                          | Train Loss: 2.0505 | Train Acc: 0.5000
 Site-USPS                          | Train Loss: 2.1342 | Train Acc: 0.3333
 Site-USPS                          | Train Loss: 2.1019 | Train Acc: 0.3947
 Site-USPS                          | Train Loss: 2.0834 | Train Acc: 0.4714
 Site-USPS                          | Train Loss: 2.0794 | Train Acc: 0.4683
 Site-USPS                          | Train Loss: 2.0848 | Train Acc: 0.4405
 Site-USPS                          | Train Loss: 2.0977 | Train Acc: 0.4303
 Site-USPS                          | Train Loss: 2.0823 | Train Acc: 0.4443
 Site-USPS                          | Train Loss: 2.0719 | Train Acc: 0.4732
 Site-MNIST                         | Train Loss: 2.1911 | Train Acc: 0.3000
 Site-MNIST                         | Train Loss: 2.1128 | Train Acc: 0.4444
 Site-MNIST                         | Train Loss: 2.1946 | Train Acc: 0.2946
 Site-MNIST                         | Train Loss: 2.1615 | Train Acc: 0.3519
 Site-MNIST                         | Train Loss: 2.1827 | Train Acc: 0.2976
 Site-MNIST                         | Train Loss: 2.1790 | Train Acc: 0.2857
 Site-SynthDigits                   | Train Loss: 2.2865 | Train Acc: 0.1656
 Site-SynthDigits                   | Train Loss: 2.2796 | Train Acc: 0.1795
 Site-SynthDigits                   | Train Loss: 2.2717 | Train Acc: 0.2016
 Site-SVHN                          | Train Loss: 2.2856 | Train Acc: 0.1050
 Site-SVHN                          | Train Loss: 2.2875 | Train Acc: 0.1560
 Site-MNIST_M                       | Train Loss: 2.2973 | Train Acc: 0.1383
Average Train Accuracy: 0.3353
 Site-USPS                          | Val  Loss: 2.4053 | Val  Acc: 0.0000
