===2023-06-29 21:52:26===
===Setting===
    dataset: digit
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 5
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[6,12,21,38,70,126,227,409,736,1325,40,72,129,233,420,756,151,273,491,181,327,282,
client_nums=[10,6,3,2,1,]
len_dataset=[3719,2066,1147,637,353,]
domain number = 5
============ Train epoch 0 ============
 Site-USPS                          | Train Loss: 2.0397 | Train Acc: 0.4830
 Site-MNIST                         | Train Loss: 2.1792 | Train Acc: 0.3000
 Site-MNIST                         | Train Loss: 2.1256 | Train Acc: 0.4722
 Site-MNIST                         | Train Loss: 2.1714 | Train Acc: 0.3256
 Site-MNIST                         | Train Loss: 2.1363 | Train Acc: 0.3734
 Site-MNIST                         | Train Loss: 2.1669 | Train Acc: 0.3214
 Site-MNIST                         | Train Loss: 2.1595 | Train Acc: 0.3069
 Site-SynthDigits                   | Train Loss: 2.2668 | Train Acc: 0.1457
 Site-SynthDigits                   | Train Loss: 2.2728 | Train Acc: 0.1722
 Site-SynthDigits                   | Train Loss: 2.2643 | Train Acc: 0.2037
 Site-SVHN                          | Train Loss: 2.2838 | Train Acc: 0.1050
 Site-SVHN                          | Train Loss: 2.2897 | Train Acc: 0.1529
 Site-MNIST_M                       | Train Loss: 2.2954 | Train Acc: 0.1454
Average Train Accuracy: 0.3506
 Site-USPS                          | Val  Loss: 2.4263 | Val  Acc: 0.0000
